"","uniprot_id","genesymbol"
"905","Q8BMA6","Srp68"
"906","Q9CZD3","Gars1"
"907","Q8R2K1","Fuom"
"908","Q00898","Serpina1e"
"909","Q60710","Samhd1"
"910","Q9CRB9","Chchd3"
"911","Q6P3A8","Bckdhb"
"912","Q3UGR5","Hdhd2"
"913","O88653","Lamtor3"
"914","Q61990","Pcbp2"
"915","E9Q414","Apob"
"916","Q99KK7","Dpp3"
"917","Q91YW3","Dnajc3"
"918","Q9CPP6","Ndufa5"
"919","Q9JIM1","Slc29a1"
"920","Q61206","Pafah1b2"
"921","Q8K183","Pdxk"
"922","Q8K0C4","Cyp51a1"
"923","Q9CR62","Slc25a11"
"924","Q5SWU9","Acaca"
"925","Q9D0J8","Ptms"
"926","P24527","Lta4h"
"927","Q8BVA5","Ldah"
"928","P09813","Apoa2"
"929","Q9JM62","Reep6"
"930","Q7TPR4","Actn1"
"931","P14685","Psmd3"
"932","P35576","G6pc1"
"933","Q99KP6","Prpf19"
"934","O55029","Copb2"
"935","P21619","Lmnb2"
"936","Q7TPV4","Mybbp1a"
"937","Q64514","Tpp2"
"938","P28656","Nap1l1"
"939","O70435","Psma3"
"940","Q9CRB3","Urah"
"941","Q6PHN9","Rab35"
"942","Q9R0P5","Dstn"
"943","O35943","Fxn"
"944","Q91V01","Lpcat3"
"945","Q6ZQI3","Mlec"
"946","Q8VHE0","Sec63"
"947","Q9CR21","Ndufab1"
"948","O70370","Ctss"
"949","Q8BWN8","Acot4"
"950","G3X9Y6",NA
"951","Q9EP96","Slco1a4"
"952","Q9EPC1","Parva"
"953","Q8BJW6","Eif2a"
"954","Q8JZQ9","Eif3b"
"955","Q78IK4","Apool"
"956","Q283N4","Urad"
"957","Q9JIF7","Copb1"
"958","P61161","Actr2"
"959","Q8R4N0","Clybl"
"960","P46735","Myo1b"
"961","P17225","Ptbp1"
"962","O88696","Clpp"
"963","Q91WG8","Gne"
"964","Q9CZ30","Ola1"
"965","Q8BML9","Qars1"
"966","Q8K370","Acad10"
"967","Q91WG0","Ces2c"
"968","Q80W54","Zmpste24"
"969","Q571I9","Aldh16a1"
"970","P47753","Capza1"
"971","P12815","Pdcd6"
"972","Q8VCH6","Dhcr24"
"973","Q64133","Maoa"
"974","Q9EP69","Sacm1l"
"975","P97493","Txn2"
"976","P56565","S100a1"
"977","Q9D1H6","Ndufaf4"
"978","Q8CC86","Naprt"
"979","P26039","Tln1"
"980","Q8BKC5","Ipo5"
"981","O09172","Gclm"
"982","O35857","Timm44"
"983","Q8BJY1","Psmd5"
"984","P36552","Cpox"
"985","Q91V64","Isoc1"
"986","Q9JHS4","Clpx"
"987","Q3UPL0","Sec31a"
"988","Q9Z2Z6","Slc25a20"
"989","P62774","Mtpn"
"990","P01901","H2-K1"
"991","Q3U2P1","Sec24a"
"992","O55242","Sigmar1"
"993","Q9Z204","Hnrnpc"
"994","Q91YX5","Lpgat1"
"995","Q9CXE7","Tmed5"
"996","Q91V76",NA
"997","Q68FL6","Mars1"
"998","Q91V41","Rab14"
"999","Q8BZF8","Pgm5"
"1000","Q99KK2","Cmas"
"1001","P70227","Itpr3"
"1002","Q9QUR6","Prep"
"1003","P47802","Mtx1"
"1004","P55302","Lrpap1"
"1005","Q6IRU2","Tpm4"
"1006","Q9D7J9","Echdc3"
"1007","Q7M6Y3","Picalm"
"1008","Q9ET22","Dpp7"
"1009","A0JNU3","Aspg"
"1010","Q8BRF7","Scfd1"
"1011","Q8R050","Gspt1"
"1012","P11930","Nudt19"
"1013","Q8VCA8","Scrn2"
"1014","P47754","Capza2"
"1015","Q64674","Srm"
"1016","Q8VCZ9","Prodh2"
"1017","Q9WU78","Pdcd6ip"
"1018","Q62422","Ostf1"
"1019","Q3TXS7","Psmd1"
"1020","Q9ERE7","Mesd"
"1021","Q9JLT4","Txnrd2"
"1022","P63276","Rps17"
"1023","A2ATU0","Dhtkd1"
"1024","Q3TDQ1","Stt3b"
"1025","O09158","Cyp3a25"
"1026","Q8K2C6","Sirt5"
"1027","Q9R0Q6","Arpc1a"
"1028","Q9EQH3","Vps35"
"1029","Q64176","Ces1e"
"1030","Q8VDK1","Nit1"
"1031","P49935","Ctsh"
"1032","P84084","Arf5"
"1033","Q9DCL9","Paics"
"1034","P61961","Ufm1"
"1035","P0DN34","Ndufb1"
"1036","Q9EQC1","Hsd3b7"
"1037","P58044","Idi1"
"1038","Q99KJ8","Dctn2"
"1039","Q9D6K5","Synj2bp"
"1040","P61804","Dad1"
"1041","P54728","Rad23b"
"1042","Q3U3R4","Lmf1"
"1043","Q8BGT5","Gpt2"
"1044","Q9EQU5","Set"
"1045","P01592","Jchain"
"1046","Q9DB15","Mrpl12"
"1047","P30416","Fkbp4"
"1048","Q9CQX8","Mrps36"
"1049","P61222","Abce1"
"1050","P16254","Srp14"
"1051","P17047","Lamp2"
"1052","O35459","Ech1"
"1053","Q8CHQ9","Nat8f2"
"1054","Q9R111","Gda"
"1055","P57759","Erp29"
"1056","Q8BSE0","Rmdn2"
"1057","P46471","Psmc2"
"1058","P60843","Eif4a1"
"1059","Q9ER88","Dap3"
"1060","Q8C166","Cpne1"
"1061","Q8CCJ3","Ufl1"
"1062","Q8BIJ6","Iars2"
"1063","Q8VCM8","Ncln"
"1064","Q80X90","Flnb"
"1065","O88531","Ppt1"
"1066","P70302","Stim1"
"1067","P15392","Cyp2a4"
"1068","Q9WV19",NA
"1069","Q8VCH0","Acaa1b"
"1070","Q9R1S7","Abcc6"
"1071","Q9CY58","Serbp1"
"1072","Q3UTJ2","Sorbs2"
"1073","Q8VCN3",NA
"1074","O88342","Wdr1"
"1075","Q61656","Ddx5"
"1076","Q9QZD9","Eif3i"
"1077","Q8JZN5","Acad9"
"1078","O35841","Api5"
"1079","Q3UPH1","Prrc1"
"1080","Q3U0V1","Khsrp"
"1081","Q9R0Q9","Mpdu1"
"1082","P04919","Slc4a1"
"1083","Q91ZX7","Lrp1"
"1084","Q99KF1","Tmed9"
"1085","Q80W22","Thnsl2"
"1086","P40336","Vps26a"
"1087","Q9QZE5","Copg1"
"1088","Q99L47","St13"
"1089","Q64737","Gart"
"1090","P62880","Gnb2"
"1091","Q5YD48","A1cf"
"1092","A2ADY9","Ddi2"
"1093","Q8VIJ6","Sfpq"
"1094","Q99KC8","Vwa5a"
"1095","E9PVA8","Gcn1"
"1096","P50136","Bckdha"
"1097","O09061","Psmb1"
"1098","Q9ER72","Cars1"
"1099","Q6PDM2","Srsf1"
"1100","P62869","Elob"
"1101","Q5SW19","Cluh"
"1102","P53811","Pitpnb"
"1103","O35643","Ap1b1"
"1104","Q8C0C7","Farsa"
"1105","Q9WTX5","Skp1"
"1106","Q8K3K7","Agpat2"
"1107","Q8BH86","Dglucy"
"1108","Q99JW2","Acy1"
"1109","Q5EBG8",NA
"1110","O55135","Eif6"
"1111","Q9Z1N5","Ddx39b"
"1112","Q8BXV2","Bri3bp"
"1113","P50295","Nat2"
"1114","O70325","Gpx4"
"1115","P49312","Hnrnpa1"
"1116","Q9QYF1","Rdh11"
"1117","Q8BIG7","Comtd1"
"1118","Q9CRB8","Mtfp1"
"1119","Q9DCU6","Mrpl4"
"1120","Q9D5J6","Shpk"
"1121","Q8QZY2","Glyctk"
"1122","Q9Z2U0","Psma7"
"1123","Q9CQ65","Mtap"
"1124","Q99L45","Eif2s2"
"1125","Q6XVG2","Cyp2c54"
"1126","Q9JII5","Dazap1"
"1127","O35226","Psmd4"
"1128","Q6P1B1","Xpnpep1"
"1129","Q91VH6","Memo1"
"1130","O35295","Purb"
"1131","P45376","Akr1b1"
"1132","O88533","Ddc"
"1133","P08071","Ltf"
"1134","Q9DCS3","Mecr"
"1135","Q3UM45","Ppp1r7"
"1136","Q91XF0","Pnpo"
"1137","P12791","Cyp2b10"
"1138","Q9D1E6","Tbcb"
"1139","Q3UNX5","Acsm3"
"1140","P58021","Tm9sf2"
"1141","Q8BTM8","Flna"
"1142","Q9Z1G3","Atp6v1c1"
"1143","P97449","Anpep"
"1144","A0A0A6YXW6",NA
"1145","Q5XG73","Acbd5"
"1146","P36536","Sar1a"
"1147","Q99N87","Mrps5"
"1148","Q9DAW9","Cnn3"
"1149","Q3THE2","Myl12b"
"1150","Q80WW9","Ddrgk1"
"1151","Q61033","Tmpo"
"1152","Q8R104","Sirt3"
"1153","P62814","Atp6v1b2"
"1154","P13439","Umps"
"1155","P45591","Cfl2"
"1156","P62855","Rps26"
"1157","P61087","Ube2k"
"1158","Q9ET54","Palld"
"1159","O08997","Atox1"
"1160","Q8R059","Gale"
"1161","P97390","Vps45"
"1162","D3Z298",NA
"1163","Q8K2Q9","Shtn1"
"1164","Q9CQ80","Vps25"
"1165","Q91XE4","Acy3"
"1166","Q8VCG4","C8g"
"1167","P15116","Cdh2"
"1168","Q921L3","Tmco1"
"1169","P10605","Ctsb"
"1170","Q9D1M7","Fkbp11"
"1171","P32067","Ssb"
"1172","Q3UBZ5","Mif4gd"
"1173","Q99M87","Dnaja3"
"1174","Q8VCT3","Rnpep"
"1175","Q61147","Cp"
"1176","Q9DC51","Gnai3"
"1177","P49442","Inpp1"
"1178","P16675","Ctsa"
"1179","Q99LF4","Rtcb"
"1180","Q9CRD2","Emc2"
"1181","P41241","Csk"
"1182","P29699","Ahsg"
"1183","O70252","Hmox2"
"1184","Q80XI3","Eif4g3"
"1185","Q91VT4","Cbr4"
"1186","Q9ET30","Tm9sf3"
"1187","O35685","Nudc"
"1188","Q9DC61","Pmpca"
"1189","P53994","Rab2a"
"1190","Q60737","Csnk2a1"
"1191","Q9CWK8","Snx2"
"1192","Q8CFA2","Amt"
"1193","Q8R1S0","Coq6"
"1194","P28654","Dcn"
"1195","Q8K1Z0","Coq9"
"1196","Q8CAQ8","Immt"
"1197","O08547","Sec22b"
"1198","Q3TMH2","Scrn3"
"1199","Q9D517","Agpat3"
"1200","Q9CYZ2","Tpd52l2"
"1201","Q64505","Cyp7a1"
"1202","Q91VA6","Poldip2"
"1203","O55234","Psmb5"
"1204","Q9JM14","Nt5c"
"1205","Q9QXY6","Ehd3"
"1206","Q925I1","Atad3"
"1207","Q99LH2","Ptdss1"
"1208","P61514","Rpl37a"
"1209","P10630","Eif4a2"
"1210","P61202","Cops2"
"1211","P47791","Gsr"
"1212","Q8R146","Apeh"
"1213","P16627","Hspa1l"
"1214","Q9CR61","Ndufb7"
"1215","P17183","Eno2"
"1216","O88455","Dhcr7"
"1217","Q6DFW4","Nop58"
"1218","Q9Z1Q5","Clic1"
"1219","G3X972",NA
"1220","Q925N2","Sfxn2"
"1221","Q9ES97","Rtn3"
"1222","O35887","Calu"
"1223","Q06890","Clu"
"1224","Q99JY9","Actr3"
"1225","P67871","Csnk2b"
"1226","Q8VCC1","Hpgd"
"1227","A2AKK5","Acnat1"
"1228","P97290","Serping1"
"1229","Q9QYC7","Ggcx"
"1230","Q9D024","Ccdc47"
"1231","P70697","Urod"
"1232","Q99KQ4","Nampt"
"1233","Q921M3","Sf3b3"
"1234","Q8VDQ1","Ptgr2"
"1235","Q9CQZ6","Ndufb3"
"1236","Q61830","Mrc1"
"1237","A0A140T8U1",NA
"1238","O88962","Cyp8b1"
"1239","P04186","Cfb"
"1240","Q9D6R2","Idh3a"
"1241","Q9JHR7","Ide"
"1242","P97384","Anxa11"
"1243","P59999","Arpc4"
"1244","Q8K411","Pitrm1"
"1245","O35114","Scarb2"
"1246","Q9DBD0","Ica"
"1247","Q62261","Sptbn1"
"1248","Q9WVK4","Ehd1"
"1249","Q62376","Snrnp70"
"1250","Q6PA06","Atl2"
"1251","P01897","H2-L"
"1252","Q8JZK9","Hmgcs1"
"1253","Q8BMJ2","Lars1"
"1254","Q9EST5","Anp32b"
"1255","Q7TQI3","Otub1"
"1256","P50427","Sts"
"1257","Q91WL5","Cyp4a12a"
"1258","Q9WUP7","Uchl5"
"1259","Q9QXS1","Plec"
"1260","P58735","Slc26a1"
"1261","Q9QYC1","Pcnx1"
"1262","Q9Z2I0","Letm1"
"1263","P00405","Mtco2"
"1264","Q8CIG8","Prmt5"
"1265","P48776","Tdo2"
"1266","A0A1L1SUI3",NA
"1267","Q8QZY1","Eif3l"
"1268","Q99JR5","Tinagl1"
"1269","Q9D6M3","Slc25a22"
"1270","P60229","Eif3e"
"1271","Q9QZS5","Sgk2"
"1272","Q9D338","Mrpl19"
"1273","Q91WQ3","Yars1"
"1274","Q9Z211","Pex11a"
"1275","Q9Z0J0","Npc2"
"1276","Q9JKB1","Uchl3"
"1277","Q8BJU0","Sgta"
"1278","Q9CQB5","Cisd2"
"1279","P41317","Mbl2"
"1280","Q62095","Ddx3y"
"1281","O55111","Dsg2"
"1282","Q9DAR7","Dcps"
"1283","P56213","Gfer"
"1284","Q71KT5","Tm7sf2"
"1285","P26369","U2af2"
"1286","Q9JIL4","Pdzk1"
"1287","Q9QUH0","Glrx"
"1288","P97821","Ctsc"
"1289","P42225","Stat1"
"1290","P26150","Hsd3b3"
"1291","Q68FG2",NA
"1292","Q61735","Cd47"
"1293","Q2TPA8","Hsdl2"
"1294","Q6NZR5",NA
"1295","P31649","Slc6a13"
"1296","P13020","Gsn"
"1297","Q91YR1","Twf1"
"1298","P70266","Pfkfb1"
"1299","Q91VA7",NA
"1300","Q9QYB1","Clic4"
"1301","Q99LM2","Cdk5rap3"
"1302","P48193","Epb41"
"1303","P47757","Capzb"
"1304","O08677","Kng1"
"1305","Q9CRB2","Nhp2"
"1306","P16406","Enpep"
"1307","P45878","Fkbp2"
"1308","Q9D7N9","Apmap"
"1309","Q9D6U8","Fam162a"
"1310","Q9CRA4","Msmo1"
"1311","P32921","Wars1"
"1312","Q9D7N3","Mrps9"
"1313","P10107","Anxa1"
"1314","Q3U1J4","Ddb1"
"1315","P04117","Fabp4"
"1316","Q02788","Col6a2"
"1317","Q923B6","Steap4"
"1318","Q62417","Sorbs1"
"1319","Q64331","Myo6"
"1320","Q62311","Taf6"
"1321","Q3V1B8",NA
"1322","Q3U7R1","Esyt1"
"1323","B1AR13","Cisd3"
"1324","Q8K4F5","Abhd11"
"1325","Q9CY64","Blvra"
"1326","E9Q4Z2","Acacb"
"1327","Q04750","Top1"
"1328","P61211","Arl1"
"1329","Q8BLF1","Nceh1"
"1330","Q06138","Cab39"
"1331","Q6NZJ6","Eif4g1"
"1332","Q8R0X7","Sgpl1"
"1333","Q9WUM3","Coro1b"
"1334","P35585","Ap1m1"
"1335","Q6PAJ1","Bcr"
"1336","Q8BK72","Mrps27"
"1337","Q8BK63","Csnk1a1"
"1338","P30681","Hmgb2"
"1339","P09602","Hmgn2"
"1340","P61089","Ube2n"
"1341","Q9WUQ2","Preb"
"1342","P19324","Serpinh1"
"1343","Q8BMS4","Coq3"
"1344","Q11136","Pepd"
"1345","Q5U5V2","Hykk"
"1346","Q9D0M1","Prpsap1"
"1347","P20918","Plg"
"1348","Q02248","Ctnnb1"
"1349","P22599","Serpina1b"
"1350","Q6P5F9","Xpo1"
"1351","Q60692","Psmb6"
"1352","P42208","Septin2"
"1353","Q921T2","Tor1aip1"
"1354","Q91WK2","Eif3h"
"1355","Q3UNZ8","Cryzl2"
"1356","Q8BJL9",NA
"1357","Q6P4T2","Snrnp200"
"1358","Q91W18","Tdrd3"
"1359","Q8R016","Blmh"
"1360","Q8BH58","Tiprl"
"1361","Q8BWY3","Etf1"
"1362","P58281","Opa1"
"1363","P70194","Clec4f"
"1364","Q7TMR0","Prcp"
"1365","Q9Z1P6","Ndufa7"
"1366","P09041","Pgk2"
"1367","P17426","Ap2a1"
"1368","Q9R0U0","Srsf10"
"1369","Q8BGA8","Acsm5"
"1370","O70579","Slc25a17"
"1371","O88967","Yme1l1"
"1372","Q6PGB6","Naa50"
"1373","P56655","Cyp2c38"
"1374","Q8K354","Cbr3"
"1375","Q9EPU0","Upf1"
"1376","Q52KI8","Srrm1"
"1377","P70404","Idh3g"
"1378","Q64010","Crk"
"1379","Q80WC7","Agfg2"
"1380","Q14CH1","Mocos"
"1381","Q91V61","Sfxn3"
"1382","Q9DB26","Phyhd1"
"1383","Q62448","Eif4g2"
"1384","Q8VI47","Abcc2"
"1385","Q9ERG0","Lima1"
"1386","P46656","Fdx1"
"1387","P01029","C4b"
"1388","P42227","Stat3"
"1389","Q9CS42","Prps2"
"1390","Q9D906","Atg7"
"1391","Q99LR1","Abhd12"
"1392","Q8R1S9","Slc38a4"
"1393","Q61768","Kif5b"
"1394","Q3TC72","Fahd2"
"1395","Q8BZQ7","Anapc2"
"1396","P12265","Gusb"
"1397","Q03311","Bche"
"1398","Q6P069","Sri"
"1399","O35469","Hsd3b6"
"1400","P12367","Prkar2a"
"1401","Q9ESB3","Hrg"
"1402","Q9EPL8","Ipo7"
"1403","Q9CYV5","Tmem135"
"1404","Q8K441","Abca6"
"1405","Q9EQQ2","Yipf5"
"1406","P52843","Sult2a1"
"1407","P60122","Ruvbl1"
"1408","Q9WUU7","Ctsz"
"1409","P58137","Acot8"
"1410","Q8R0Y8","Slc25a42"
"1411","Q99JT9","Adi1"
"1412","Q9QXB9","Drg2"
"1413","Q9D8B4","Ndufa11"
"1414","Q3TCH7","Cul4a"
"1415","Q920L1","Fads1"
"1416","Q64669","Nqo1"
"1417","Q9Z126","Pf4"
"1418","Q5U458","Dnajc11"
"1419","Q9D662","Sec23b"
"1420","P52480","Pkm"
"1421","Q9QZN4","Fbxo6"
"1422","Q9WVM8","Aadat"
"1423","Q9D5T0","Atad1"
"1424","P62996","Tra2b"
"1425","O88325",NA
"1426","Q91XL9","Osbpl1a"
"1427","Q8R570","Snap47"
"1428","P51863","Atp6v0d1"
"1429","P48024","Eif1"
"1430","P28230","Gjb1"
"1431","Q9QZ23","Nfu1"
"1432","P62331","Arf6"
"1433","Q9R008","Mvk"
"1434","Q6TCG2","Paqr9"
"1435","Q9WVA2","Timm8a1"
"1436","Q9JLF6","Tgm1"
"1437","P01867","Ighg2b"
"1438","Q8QZZ7","Tprkb"
"1439","Q3UMC0","Spata5"
"1440","P31725","S100a9"
"1441","Q11011","Npepps"
"1442","F8VQC1",NA
"1443","Q8K023","Akr1c18"
"1444","Q8R0F8","Fahd1"
"1445","Q8VEK0","Tmem30a"
"1446","O88908","Soat2"
"1447","O55239","Nnmt"
"1448","P12382","Pfkl"
"1449","Q3T9X0","Slc2a9"
"1450","P62743","Ap2s1"
"1451","P40237","Cd82"
"1452","P35293","Rab18"
"1453","Q8R238","Sdsl"
"1454","P52019","Sqle"
"1455","E9PXC3",NA
"1456","P97352","S100a13"
"1457","P28666","Mug2"
"1458","Q3UFF7","Lyplal1"
"1459","Q80W21","Gstm7"
"1460","Q8R1Q8","Dync1li1"
"1461","Q8QZR1","Tat"
"1462","Q9DBG3","Ap2b1"
"1463","P58771","Tpm1"
"1464","P51859","Hdgf"
"1465","Q9WTI7","Myo1c"
"1466","Q9D8X1","Cutc"
"1467","Q8BXB6","Slco2b1"
"1468","P62627","Dynlrb1"
"1469","Q9QYJ0","Dnaja2"
"1470","Q00915","Rbp1"
"1471","Q8BLN5","Lss"
"1472","P49586","Pcyt1a"
"1473","Q9CPW4","Arpc5"
"1474","Q91VH2","Snx9"
"1475","Q9CPX6","Atg3"
"1476","Q9EP72","Emc7"
"1477","Q9D2C7","Tmbim6"
"1478","Q4KML4","Abracl"
"1479","P26231","Ctnna1"
"1480","Q8R123","Flad1"
"1481","Q9JLJ4","Elovl2"
"1482","Q9D898","Arpc5l"
"1483","Q9WVJ3","Cpq"
"1484","Q61102","Abcb7"
"1485","O08638","Myh11"
"1486","Q6NXL1",NA
"1487","Q8BQ46",NA
"1488","E9Q557","Dsp"
"1489","Q80UU9","Pgrmc2"
"1490","G3X8U3",NA
"1491","Q61599","Arhgdib"
"1492","P60670","Nploc4"
"1493","Q8R010","Aimp2"
"1494","O08738","Casp6"
"1495","O89023","Tpp1"
"1496","Q9CR24","Nudt8"
"1497","P36993","Ppm1b"
"1498","Q8BH69","Sephs1"
"1499","Q9CQH7","Btf3l4"
"1500","O35639","Anxa3"
"1501","Q9Z0M5","Lipa"
"1502","Q9WUM4","Coro1c"
"1503","Q14DH7","Acss3"
"1504","Q80UG5","Septin9"
"1505","Q9QUJ7","Acsl4"
"1506","P31651","Slc6a12"
"1507","Q61247","Serpinf2"
"1508","Q9CQV4","Retreg3"
"1509","Q9CZ42","Naxd"
"1510","A6X935","Itih4"
"1511","O70570","Pigr"
"1512","P50516","Atp6v1a"
"1513","Q9EQI8","Mrpl46"
"1514","Q7TNE1","Sugct"
"1515","Q9DBC0","Selenoo"
"1516","P52792","Gck"
"1517","Q9DBK0","Acot12"
"1518","Q501J6","Ddx17"
"1519","P21440","Abcb4"
"1520","Q9R078","Prkab1"
"1521","O88441","Mtx2"
"1522","P61750","Arf4"
"1523","Q3UIR3","Dtx3l"
"1524","Q99J56","Derl1"
"1525","P34022","Ranbp1"
"1526","Q9EPQ7","Stard5"
"1527","P27546","Map4"
"1528","Q3TJZ6","Fam98a"
"1529","Q91WT8","Rbm47"
"1530","O08797",NA
"1531","Q8R3Q6","Mix23"
"1532","O88630","Gosr1"
"1533","Q99LB6","Mat2b"
"1534","Q60865","Caprin1"
"1535","Q99NB9","Sf3b1"
"1536","Q61635",NA
"1537","Q8BSQ9","Pbrm1"
"1538","P45700","Man1a1"
"1539","P70699","Gaa"
"1540","Q80TV8","Clasp1"
"1541","Q3UEB3","Puf60"
"1542","P70122","Sbds"
"1543","Q91XD6","Vps36"
"1544","P97478","Coq7"
"1545","P49290","Epx"
"1546","Q9D8B6","Fam210b"
"1547","Q9D7S7","Rpl22l1"
"1548","Q920I9","Wdr7"
"1549","Q8VHQ9","Acot11"
"1550","Q61749","Eif2b4"
"1551","Q9D8Y0","Efhd2"
"1552","Q91ZV0","Mia2"
"1553","Q9R0A0","Pex14"
"1554","Q80Y14","Glrx5"
"1555","Q921F4","Hnrnpll"
"1556","Q99P72","Rtn4"
"1557","Q91WK1","Spryd4"
"1558","Q99JX4","Eif3m"
"1559","Q9Z0V7","Timm17b"
"1560","Q9JLB0","Pals2"
"1561","Q9DCA2","Mrps11"
"1562","P63073","Eif4e"
"1563","Q8VCH8","Ubxn4"
"1564","Q61699","Hsph1"
"1565","Q99K30","Eps8l2"
"1566","Q99LI7","Cstf3"
"1567","Q01339","Apoh"
"1568","Q9JHW4","Eefsec"
"1569","P24547","Impdh2"
"1570","O35326","Srsf5"
"1571","Q6P542","Abcf1"
"1572","Q7TMY8","Huwe1"
"1573","Q9D7B6","Acad8"
"1574","Q9Z1D1","Eif3g"
"1575","P35278","Rab5c"
"1576","Q8BW70","Usp38"
"1577","P54320","Eln"
"1578","P68181","Prkacb"
"1579","P23591","Gfus"
"1580","Q8R480","Nup85"
"1581","Q9CQ20","Mid1ip1"
"1582","Q8BM55","Tmem214"
"1583","Q9D3B1","Hacd2"
"1584","Q9D820","Prorsd1"
"1585","Q05117","Acp5"
"1586","A0A286YCV9",NA
"1587","Q9QWG7","Sult1b1"
"1588","Q60960","Kpna1"
"1589","Q9CYR6","Pgm3"
"1590","P06728","Apoa4"
"1591","Q9R1S8","Capn7"
"1592","P39447","Tjp1"
"1593","P63085","Mapk1"
"1594","Q9D7X3","Dusp3"
"1595","Q3TEA8","Hp1bp3"
"1596","Q99KN9","Clint1"
"1597","Q9CYA0","Creld2"
"1598","Q8K4H1","Afmid"
"1599","Q8BU33","Ilvbl"
"1600","Q6Q899","Ddx58"
"1601","O55131","Septin7"
"1602","Q99J77","Nans"
"1603","Q05793","Hspg2"
"1604","F6VWU8",NA
"1605","P46664","Adss2"
"1606","Q04447","Ckb"
"1607","P54822","Adsl"
"1608","Q9CZW5","Tomm70"
"1609","Q99KI3","Emc3"
"1610","Q9QZX7","Srr"
"1611","Q3THS6","Mat2a"
"1612","Q8BL97","Srsf7"
"1613","Q9CRD0","Ociad1"
"1614","Q99KR7","Ppif"
"1615","P54276","Msh6"
"1616","Q9CQF9","Pcyox1"
"1617","O88746","Tom1"
"1618","Q62348","Tsn"
"1619","Q8CGF1","Arhgap29"
"1620","P31230","Aimp1"
"1621","Q8CIB5","Fermt2"
"1622","Q99KG5","Lsr"
"1623","Q8BSY0","Asph"
"1624","P59242","Cgn"
"1625","Q9D1I5","Mcee"
"1626","Q9QZ06","Tollip"
"1627","O35286","Dhx15"
"1628","Q9DCZ4","Apoo"
"1629","Q8K215","Lyrm4"
"1630","Q922H4","Gmppa"
"1631","Q9JKJ9","Cyp39a1"
"1632","Q920A5","Scpep1"
"1633","Q8BU14","Sec62"
"1634","Q8BXZ1","Tmx3"
"1635","P56528","Cd38"
"1636","Q61419","Cmah"
"1637","Q8R1V4","Tmed4"
"1638","Q9D8T7","Slirp"
"1639","P35550","Fbl"
"1640","Q8VBT0","Tmx1"
"1641","Q9R0P6","Sec11a"
"1642","O08810","Eftud2"
"1643","Q99J27","Slc33a1"
"1644","Q9Z1Z2","Strap"
"1645","Q8K0D5","Gfm1"
"1646","Q8K3J1","Ndufs8"
"1647","P97379","G3bp2"
"1648","Q9JJU8","Sh3bgrl"
"1649","O55023","Impa1"
"1650","Q91W50","Csde1"
"1651","Q91WC0","Setd3"
"1652","Q6P9R2","Oxsr1"
"1653","Q8C3X8","Lmf2"
"1654","Q8JZQ2","Afg3l2"
"1655","A7MCT6","Etnk2"
"1656","Q05D44","Eif5b"
"1657","E9Q735","Ube4a"
"1658","Q8BK64","Ahsa1"
"1659","P09055","Itgb1"
"1660","Q9DC16","Ergic1"
"1661","P39061","Col18a1"
"1662","Q8R2Y3","Dolk"
"1663","Q8VBV7","Cops8"
"1664","Q61792","Lasp1"
"1665","Q9CQT1","Mri1"
"1666","Q6ZWX6","Eif2s1"
"1667","Q00PI9","Hnrnpul2"
"1668","Q7TMS5","Abcg2"
"1669","Q61009","Scarb1"
"1670","Q570Y9","Deptor"
"1671","O88736","Hsd17b7"
"1672","Q8VDM6","Hnrnpul1"
"1673","E9Q3C1","C2cd2"
"1674","P28660","Nckap1"
"1675","Q9JLC3","Msrb1"
"1676","P14576","Srp54"
"1677","O35465","Fkbp8"
"1678","Q9D832","Dnajb4"
"1679","Q6DYE8","Enpp3"
"1680","P70398","Usp9x"
"1681","P63005","Pafah1b1"
"1682","P53808","Pctp"
"1683","O35343","Kpna4"
"1684","O88456","Capns1"
"1685","Q9JKF1","Iqgap1"
"1686","Q8CGR7","Upp2"
"1687","Q99PV0","Prpf8"
"1688","Q9JLI8","Sart3"
"1689","P62320","Snrpd3"
"1690","Q9JK42","Pdk2"
"1691","O09110","Map2k3"
"1692","Q8BYL4","Yars2"
"1693","P61022","Chp1"
"1694","Q811D0","Dlg1"
"1695","Q91WM2","Hdhd5"
"1696","Q9D1P4","Chordc1"
"1697","P49698","Hnf4a"
"1698","P12787","Cox5a"
"1699","P83940","Eloc"
"1700","P19221","F2"
"1701","Q9CXY6","Ilf2"
"1702","Q9Z1K7","Apc2"
"1703","Q9WUK2","Eif4h"
"1704","Q9JLN9","Mtor"
"1705","P62254","Ube2g1"
"1706","Q9R099","Tbl2"
"1707","Q8BP40","Acp6"
"1708","Q6PHQ9",NA
"1709","Q921S7","Mrpl37"
"1710","Q9D8Y1","Tmem126a"
"1711","Q8VC52","Rbpms2"
"1712","Q9WVA3","Bub3"
"1713","Q4PZA2","Ece1"
"1714","Q99PE8","Abcg5"
"1715","Q9QXC1","Fetub"
"1716","Q8R1Q9","Rbks"
"1717","Q64337","Sqstm1"
"1718","P19258","Mpv17"
"1719","Q99PG2","Ogfr"
"1720","Q8C7H1","Mmaa"
"1721","Q8BGR9","Ublcp1"
"1722","Q8CH25","Sltm"
"1723","Q8BI84","Mia3"
"1724","Q9WV85","Nme3"
"1725","Q6R0H7","Gnas"
"1726","Q6PDI5","Ecpas"
"1727","O88876","Dhrs3"
